year,pop,country,other_energycompile_price,electricitycompile_price,electricitycompile_peakprice
2029,0.6720928934,MNE,0.06715565650486166,0.08816910945022469,0.39627352929374804
2030,0.673938364,MNE,0.06809583569592972,0.08940347698252783,0.40182135870386054
2031,0.6753982128,MNE,0.06904917739567275,0.09065512566028322,0.4074468577257146
2032,0.6768580616,MNE,0.07001586587921217,0.09192429741952719,0.4131511137338746
2033,0.6783179104,MNE,0.07099608800152114,0.09321123758340058,0.41893522932614885
2034,0.6797777591999999,MNE,0.07199003323354244,0.0945161949095682,0.42480032253671496
2035,0.681237608,MNE,0.07299789369881204,0.09583942163830216,0.43074752705222896
2036,0.6824346202,MNE,0.0740198642105954,0.09718117354123838,0.43677799243096016
2037,0.6836316324,MNE,0.07505614230954374,0.09854170997081572,0.44289288432499363
2038,0.6848286445999999,MNE,0.07610692830187736,0.09992129391040715,0.44909338470554355
2039,0.6860256567999999,MNE,0.07717242529810364,0.10132019202515284,0.4553806920914212
2040,0.687222669,MNE,0.07825283925227709,0.10273867471350498,0.4617560217807011
2041,0.6883603506,MNE,0.07934837900180897,0.10417701615949405,0.4682206060856309
2042,0.6894980321999999,MNE,0.08045925630783429,0.10563549438572697,0.4747756945708297
2043,0.6906357138,MNE,0.08158568589614397,0.10711439130712716,0.4814225542948213
2044,0.6917733953999999,MNE,0.08272788549869,0.10861399278542694,0.4881624700549488
2045,0.692911077,MNE,0.08388607589567165,0.11013458868442291,0.4949967446357181
2046,0.6941861558,MNE,0.08506048095821106,0.11167647292600484,0.5019266990606182
2047,0.6954612346,MNE,0.08625132769162601,0.11323994354696891,0.5089536728474668
2048,0.6967363134,MNE,0.08745884627930878,0.11482530275662647,0.5160790242673314
2049,0.6980113922,MNE,0.0886832701272191,0.11643285699521924,0.523304130607074
2050,0.699286471,MNE,0.08992483590900018,0.11806291699315231,0.5306303884355731
2051,0.7006707162,MNE,0.09118378361172617,0.11971579783105644,0.5380592138736711
2052,0.7020549614,MNE,0.09246035658229035,0.12139181900069124,0.5455920428679024
2053,0.7034392065999999,MNE,0.09375480157444241,0.12309130446670091,0.553230331468053
2054,0.7048234518,MNE,0.0950673687964846,0.12481458272923472,0.5609755561086057
2055,0.706207697,MNE,0.09639831195963539,0.12656198688744402,0.5688292138941262
2056,0.7076648828,MNE,0.09774788832707028,0.12833385470386824,0.576792822888644
2057,0.7091220685999999,MNE,0.09911635876364927,0.13013052866972238,0.584867922409085
